wall_time,step,value
1759805348.5840716,276,-63.212730407714844
1759805349.1596684,277,-63.50504684448242
1759805349.76396,278,-63.24674987792969
1759805351.896603,279,-61.75935745239258
1759805352.819783,280,-63.475955963134766
1759805353.2897882,281,-64.26595306396484
1759805354.0794892,282,-65.88087463378906
1759805354.616742,283,-66.6048583984375
1759805355.1688597,284,-66.55614471435547
1759805356.0624933,285,-67.610595703125
1759805356.5426042,286,-68.34412384033203
1759805358.6698074,287,-68.06405639648438
1759805359.4422977,288,-68.77268981933594
1759805359.8997846,289,-69.29061126708984
1759805360.4596858,290,-70.0347671508789
1759805363.5184095,291,-66.88053894042969
1759805365.6995237,292,-65.81491088867188
1759805367.8895206,293,-65.2205581665039
1759805368.8214743,294,-66.68772888183594
1759805369.165618,295,-67.48507690429688
1759805371.3756459,296,-64.66345977783203
1759805373.5622673,297,-63.3320198059082
1759805374.58472,298,-64.06642150878906
1759805375.1893437,299,-65.06377410888672
1759805376.772706,300,-70.13671875
1759805377.0290203,301,-70.37995910644531
1759805379.2124572,302,-69.58940124511719
1759805381.4078844,303,-66.54093933105469
1759805381.9676003,304,-68.05408477783203
1759805382.358711,305,-68.91770935058594
1759805383.486135,306,-70.95990753173828
1759805383.9134574,307,-70.64380645751953
1759805384.4488668,308,-78.6749267578125
1759805385.7555044,309,-83.4336166381836
1759805386.6272388,310,-89.44596862792969
1759805386.9422114,311,-90.09925079345703
1759805387.2901657,312,-90.73011016845703
1759805389.480713,313,-90.71834564208984
1759805390.1967242,314,-91.6265640258789
1759805390.454998,315,-91.9199447631836
1759805392.6459177,316,-91.63215637207031
1759805394.8460677,317,-90.80232238769531
1759805395.138296,318,-91.59256744384766
1759805395.775701,319,-90.77032470703125
1759805396.127421,320,-90.5660629272461
1759805396.3682654,321,-90.89894104003906
1759805397.1936378,322,-95.76460266113281
1759805398.3255177,323,-93.36911010742188
1759805401.487962,324,-97.39956665039062
1759805401.69519,325,-97.93466186523438
1759805402.16371,326,-101.8387451171875
1759805402.877005,327,-104.00972747802734
1759805403.8825598,328,-101.9598388671875
1759805404.7040668,329,-102.44593048095703
1759805406.7032387,330,-104.77849578857422
1759805408.8253531,331,-107.18950653076172
1759805409.0937424,332,-105.66905212402344
1759805409.704214,333,-106.07511138916016
1759805411.0000944,334,-108.69107055664062
